id_student,score_MAT,level_MAT,score_LEN,level_LEN,score_ING,level_ING
140,369.75,1.0,324.32,1.0,,
141,551.42,3.0,592.97,3.0,,
142,462.39,2.0,468.49,2.0,,
143,481.31,2.0,469.59,2.0,,
144,449.92,2.0,517.46,3.0,,
145,561.26,3.0,589.98,3.0,,
146,480.65,2.0,606.68,4.0,,
147,419.73,2.0,532.72,3.0,,
148,357.83,1.0,356.72,1.0,,
149,447.19,2.0,357.27,1.0,,
150,573.73,3.0,582.69,3.0,,
151,427.72,2.0,544.77,3.0,,
152,462.28,2.0,504.19,3.0,,
153,709.79,4.0,657.75,4.0,,
154,668.34,4.0,543.99,3.0,,
155,507.01,3.0,449.25,2.0,,
156,420.39,2.0,459.31,2.0,,
157,537.64,3.0,458.31,2.0,,
158,,,,,,
159,502.75,3.0,526.97,3.0,,
160,709.79,4.0,668.26,4.0,,
161,591.78,3.0,624.37,4.0,,
162,488.09,2.0,467.16,2.0,,
163,,,,,,
164,,,532.83,3.0,,
165,562.03,3.0,601.7,4.0,,
166,709.79,4.0,565.44,3.0,,
167,474.42,2.0,552.06,3.0,,
168,,,,,,
169,534.9,3.0,543.0,3.0,,
170,542.67,3.0,503.64,3.0,,
171,440.51,2.0,355.39,1.0,,
172,591.45,3.0,649.9,4.0,,
173,481.09,2.0,467.71,2.0,,
174,592.33,3.0,573.4,3.0,,
175,648.44,4.0,645.04,4.0,,
176,481.53,2.0,488.05,2.0,,
177,450.03,2.0,583.68,3.0,,
178,421.15,2.0,455.44,2.0,,
179,573.95,3.0,512.93,3.0,,
180,254.69,1.0,352.29,1.0,,
181,709.79,4.0,583.24,3.0,,
182,512.92,3.0,462.41,2.0,,
183,571.54,3.0,467.27,2.0,,
184,450.14,2.0,331.18,1.0,,
185,392.5,1.0,483.3,2.0,,
186,460.09,2.0,479.54,2.0,,
187,482.29,2.0,385.46,1.0,,
188,381.34,1.0,445.27,2.0,,
189,384.19,1.0,442.39,2.0,,
190,387.58,1.0,363.13,1.0,,
191,419.84,2.0,530.95,3.0,,
192,393.92,1.0,442.51,2.0,,
193,572.31,3.0,628.35,4.0,,
194,585.54,3.0,642.28,4.0,,
195,574.28,3.0,582.36,3.0,,
196,644.5,4.0,543.77,3.0,,
197,381.01,1.0,375.4,1.0,,
198,353.01,1.0,316.81,1.0,,
199,455.5,2.0,609.33,4.0,,
200,546.39,3.0,572.63,3.0,,
201,,,,,,
202,552.29,3.0,483.74,2.0,,
203,535.56,3.0,603.36,4.0,,
204,495.75,2.0,503.53,3.0,,
205,573.62,3.0,555.38,3.0,,
206,552.73,3.0,668.26,4.0,,
207,451.89,2.0,378.94,1.0,,
208,380.69,1.0,441.84,2.0,,
209,386.59,1.0,387.12,1.0,,
210,668.34,4.0,668.26,4.0,,
211,464.36,2.0,551.4,3.0,,
212,462.72,2.0,494.47,2.0,,
213,481.42,2.0,516.36,3.0,,
214,525.28,3.0,617.84,4.0,,
215,513.03,3.0,460.19,2.0,,
216,537.86,3.0,511.6,3.0,,
217,450.47,2.0,455.11,2.0,,
218,657.19,4.0,645.04,4.0,,
219,454.73,2.0,366.78,1.0,,
220,,,,,,
221,380.9,1.0,553.83,3.0,,
222,569.69,3.0,584.57,3.0,,
223,555.47,3.0,519.78,3.0,,
224,438.65,2.0,529.62,3.0,,
225,585.65,3.0,567.1,3.0,,
226,482.84,2.0,601.15,4.0,,
227,492.03,2.0,529.07,3.0,,
228,537.75,3.0,542.67,3.0,,
229,276.67,1.0,401.49,2.0,,
230,587.51,3.0,535.26,3.0,,
231,458.45,2.0,457.32,2.0,,
232,459.0,2.0,510.72,3.0,,
233,,,,,,
234,580.84,3.0,507.73,3.0,,
235,461.51,2.0,532.5,3.0,,
236,556.12,3.0,488.27,2.0,,
237,586.75,3.0,470.03,2.0,,
238,709.79,4.0,668.26,4.0,,
239,,,268.38,1.0,,
240,489.19,2.0,604.25,4.0,,
241,511.61,3.0,515.03,3.0,,
242,576.47,3.0,612.43,4.0,,
243,678.29,4.0,553.17,3.0,,
244,475.29,2.0,255.23,1.0,,
245,494.98,2.0,535.81,3.0,,
246,398.4,1.0,253.24,1.0,,
247,,,,,,
248,442.92,2.0,343.56,1.0,,
249,,,,,,
250,,,,,,
251,532.06,3.0,619.28,4.0,,
252,353.45,1.0,357.27,1.0,,
253,544.31,3.0,572.18,3.0,,
254,462.28,2.0,479.21,2.0,,
255,401.14,2.0,515.36,3.0,,
256,483.28,2.0,598.05,3.0,,
257,441.83,2.0,321.56,1.0,,
258,638.48,4.0,603.36,4.0,,
259,525.94,3.0,492.59,2.0,,
260,513.03,3.0,476.33,2.0,,
261,398.4,1.0,405.14,2.0,,
262,,,,,,
263,668.34,4.0,576.39,3.0,,
264,386.81,1.0,534.38,3.0,,
265,436.58,2.0,584.9,3.0,,
266,484.15,2.0,491.7,2.0,,
267,332.01,1.0,474.23,2.0,,
268,480.76,2.0,339.14,1.0,,
269,484.7,2.0,638.19,4.0,,
270,,,,,,
271,564.54,3.0,566.77,3.0,,
272,575.04,3.0,534.04,3.0,,
273,,,,,,
274,531.73,3.0,472.8,2.0,,
275,549.23,3.0,551.73,3.0,,
276,582.7,3.0,495.24,2.0,,
277,316.37,1.0,347.98,1.0,,
278,621.86,4.0,668.26,4.0,,
279,604.36,4.0,610.55,4.0,,
280,601.73,4.0,599.93,3.0,,
281,471.36,2.0,485.62,2.0,,
282,597.69,3.0,588.21,3.0,,
283,449.81,2.0,564.56,3.0,,
284,586.97,3.0,575.83,3.0,,
285,432.86,2.0,388.33,1.0,,
286,556.01,3.0,583.68,3.0,,
287,608.84,4.0,458.31,2.0,,
288,553.61,3.0,530.06,3.0,,
289,471.69,2.0,469.26,2.0,,
290,592.0,3.0,590.09,3.0,,
291,465.12,2.0,482.97,2.0,,
292,550.87,3.0,625.69,4.0,,
293,709.79,4.0,598.39,3.0,,
294,518.28,3.0,542.34,3.0,,
295,628.53,4.0,544.77,3.0,,
296,644.5,4.0,437.86,2.0,,
297,492.36,2.0,386.68,1.0,,
298,,,,,,
299,345.14,1.0,446.15,2.0,,
300,555.25,3.0,353.18,1.0,,
301,474.53,2.0,472.24,2.0,,
302,394.9,1.0,405.69,2.0,,
303,352.69,1.0,343.45,1.0,,
304,453.64,2.0,389.66,1.0,,
305,561.59,3.0,443.28,2.0,,
306,550.54,3.0,580.7,3.0,,
307,610.81,4.0,618.62,4.0,,
308,380.69,1.0,448.36,2.0,,
309,,,,,,
310,709.79,4.0,488.39,2.0,,
311,576.47,3.0,622.04,4.0,,
312,513.69,3.0,442.39,2.0,,
313,584.56,3.0,542.34,3.0,,
314,552.62,3.0,481.86,2.0,,
315,563.56,3.0,536.48,3.0,,
316,678.29,4.0,642.28,4.0,,
317,498.48,2.0,289.72,1.0,,
318,495.2,2.0,449.91,2.0,,
319,575.04,3.0,526.53,3.0,,
320,376.09,1.0,444.83,2.0,,
321,633.67,4.0,477.33,2.0,,
322,500.56,3.0,585.12,3.0,,
323,470.7,2.0,495.35,2.0,,
324,417.76,2.0,562.46,3.0,,
325,597.58,3.0,604.02,4.0,,
326,643.08,4.0,610.44,4.0,,
327,573.29,3.0,638.19,4.0,,
328,548.03,3.0,560.47,3.0,,
329,342.51,1.0,352.96,1.0,,
330,668.34,4.0,594.96,3.0,,
331,601.4,4.0,569.86,3.0,,
332,572.09,3.0,604.02,4.0,,
333,436.36,2.0,355.94,1.0,,
334,423.12,2.0,,,,
335,410.87,2.0,500.32,3.0,,
336,548.79,3.0,629.12,4.0,,
337,483.39,2.0,370.65,1.0,,
338,437.01,2.0,407.46,2.0,,
339,405.29,2.0,432.11,2.0,,
340,497.61,2.0,449.58,2.0,,
341,621.86,4.0,629.23,4.0,,
342,402.56,2.0,401.05,2.0,,
343,523.97,3.0,489.82,2.0,,
344,511.61,3.0,488.39,2.0,,
345,387.58,1.0,374.85,1.0,,
346,496.19,2.0,470.7,2.0,,
347,586.97,3.0,668.26,4.0,,
348,532.61,3.0,490.93,2.0,,
349,444.89,2.0,495.46,2.0,,
350,280.94,1.0,257.44,1.0,,
351,348.2,1.0,429.46,2.0,,
352,413.72,2.0,460.53,2.0,,
353,624.7,4.0,612.43,4.0,,
354,,,,,,
355,669.65,4.0,584.23,3.0,,
356,490.06,2.0,539.9,3.0,,
357,408.03,2.0,512.93,3.0,,
358,368.22,1.0,380.26,1.0,,
359,460.53,2.0,450.58,2.0,,
360,403.11,2.0,451.35,2.0,,
361,678.29,4.0,539.9,3.0,,
362,564.44,3.0,564.67,3.0,,
363,596.04,3.0,481.64,2.0,,
364,678.29,4.0,645.04,4.0,,
365,709.79,4.0,503.31,3.0,,
366,420.61,2.0,595.4,3.0,,
367,577.23,3.0,371.42,1.0,,
368,556.12,3.0,600.93,4.0,,
369,484.15,2.0,527.74,3.0,,
370,,,,,,
371,459.87,2.0,507.51,3.0,,
372,445.98,2.0,485.18,2.0,,
373,483.28,2.0,463.18,2.0,,
374,556.34,3.0,574.51,3.0,,
375,371.83,1.0,473.68,2.0,,
376,574.61,3.0,441.62,2.0,,
377,560.5,3.0,547.64,3.0,,
378,517.4,3.0,440.29,2.0,,
379,521.78,3.0,600.15,4.0,,
380,346.45,1.0,402.15,2.0,,
381,571.65,3.0,484.52,2.0,,
382,518.17,3.0,546.98,3.0,,
383,497.39,2.0,369.65,1.0,,
384,373.14,1.0,406.24,2.0,,
385,363.51,1.0,354.95,1.0,,
386,450.9,2.0,484.85,2.0,,
387,601.29,4.0,617.29,4.0,,
388,560.28,3.0,645.04,4.0,,
389,578.54,3.0,594.74,3.0,,
390,567.72,3.0,625.69,4.0,,
391,477.37,2.0,438.3,2.0,,
392,466.33,2.0,364.34,1.0,,
393,559.4,3.0,453.89,2.0,,
394,267.37,1.0,346.55,1.0,,
395,537.64,3.0,485.62,2.0,,
396,604.47,4.0,637.63,4.0,,
397,584.56,3.0,484.52,2.0,,
398,552.4,3.0,461.85,2.0,,
399,572.09,3.0,306.19,1.0,,
400,492.79,2.0,588.55,3.0,,
401,457.36,2.0,504.08,3.0,,
402,668.34,4.0,563.89,3.0,,
403,535.89,3.0,550.74,3.0,,
404,570.23,3.0,585.45,3.0,,
405,498.59,2.0,464.28,2.0,,
406,362.64,1.0,489.82,2.0,,
407,463.7,2.0,445.6,2.0,,
408,600.42,4.0,638.19,4.0,,
409,,,,,,
410,470.15,2.0,463.4,2.0,,
411,507.45,3.0,353.07,1.0,,
412,,,440.74,2.0,,
413,468.08,2.0,335.82,1.0,,
414,422.58,2.0,561.35,3.0,,
415,604.25,4.0,396.74,1.0,,
416,564.44,3.0,571.52,3.0,,
417,356.95,1.0,337.7,1.0,,
418,497.06,2.0,587.33,3.0,,
419,392.94,1.0,534.82,3.0,,
420,557.98,3.0,553.94,3.0,,
421,458.56,2.0,507.4,3.0,,
422,550.54,3.0,445.93,2.0,,
423,521.34,3.0,491.92,2.0,,
424,588.5,3.0,457.21,2.0,,
425,538.84,3.0,422.5,2.0,,
426,559.08,3.0,601.7,4.0,,
427,445.87,2.0,535.37,3.0,,
428,362.86,1.0,401.71,2.0,,
429,662.0,4.0,657.75,4.0,,
430,584.34,3.0,622.04,4.0,,
431,546.39,3.0,537.25,3.0,,
432,602.17,4.0,668.26,4.0,,
433,553.83,3.0,461.52,2.0,,
434,394.47,1.0,588.1,3.0,,
435,530.86,3.0,607.23,4.0,,
436,523.2,3.0,633.54,4.0,,
437,535.34,3.0,472.91,2.0,,
438,573.95,3.0,638.19,4.0,,
439,501.44,3.0,455.66,2.0,,
440,495.75,2.0,545.32,3.0,,
441,,,453.23,2.0,,
442,480.33,2.0,564.45,3.0,,
443,417.22,2.0,488.94,2.0,,
444,563.12,3.0,553.28,3.0,,
445,573.51,3.0,516.58,3.0,,
446,530.09,3.0,408.79,2.0,,
447,476.39,2.0,578.15,3.0,,
448,469.61,2.0,532.83,3.0,,
449,492.79,2.0,478.21,2.0,,
450,447.84,2.0,628.35,4.0,,
451,551.86,3.0,457.98,2.0,,
452,709.79,4.0,519.89,3.0,,
453,325.01,1.0,501.98,3.0,,
454,480.22,2.0,401.05,2.0,,
455,548.03,3.0,451.79,2.0,,
456,563.34,3.0,612.32,4.0,,
457,437.01,2.0,594.74,3.0,,
458,546.28,3.0,628.35,4.0,,
459,464.36,2.0,343.12,1.0,,
460,471.9,2.0,434.55,2.0,,
461,463.26,2.0,609.22,4.0,,
462,440.73,2.0,649.9,4.0,,
463,559.84,3.0,561.9,3.0,,
464,622.84,4.0,499.55,2.0,,
465,569.69,3.0,657.75,4.0,,
466,380.58,1.0,379.71,1.0,,
467,564.22,3.0,628.35,4.0,,
468,401.79,2.0,535.48,3.0,,
469,412.08,2.0,524.87,3.0,,
470,449.92,2.0,556.49,3.0,,
471,427.94,2.0,437.86,2.0,,
472,537.86,3.0,470.7,2.0,,
473,669.65,4.0,596.73,3.0,,
474,380.79,1.0,448.36,2.0,,
475,567.83,3.0,532.72,3.0,,
476,546.61,3.0,645.92,4.0,,
477,373.36,1.0,390.32,1.0,,
478,409.01,2.0,445.82,2.0,,
479,398.08,1.0,342.45,1.0,,
480,555.79,3.0,668.26,4.0,,
481,498.37,2.0,586.78,3.0,,
482,303.25,1.0,304.87,1.0,,
483,275.69,1.0,385.13,1.0,,
484,603.59,4.0,621.49,4.0,,
485,433.08,2.0,467.6,2.0,,
486,542.78,3.0,458.31,2.0,,
487,,,444.5,2.0,,
488,709.79,4.0,657.75,4.0,,
489,511.72,3.0,589.65,3.0,,
490,624.26,4.0,540.23,3.0,,
491,200.98,1.0,226.04,1.0,,
492,561.7,3.0,478.32,2.0,,
493,573.4,3.0,450.47,2.0,,
494,478.25,2.0,543.99,3.0,,
495,399.06,1.0,447.7,2.0,,
496,,,,,,
497,469.17,2.0,388.0,1.0,,
498,678.29,4.0,568.54,3.0,,
499,543.76,3.0,668.26,4.0,,
500,470.15,2.0,509.06,3.0,,
501,336.5,1.0,375.62,1.0,,
502,319.44,1.0,353.84,1.0,,
503,550.22,3.0,622.04,4.0,,
504,383.42,1.0,315.48,1.0,,
505,555.58,3.0,566.33,3.0,,
506,610.48,4.0,645.04,4.0,,
507,274.05,1.0,332.17,1.0,,
508,504.17,3.0,604.25,4.0,,
509,547.37,3.0,537.25,3.0,,
510,709.79,4.0,617.84,4.0,,
511,361.11,1.0,350.75,1.0,,
512,,,,,,
513,,,,,,
514,652.81,4.0,572.18,3.0,,
515,674.25,4.0,612.76,4.0,,
516,,,,,,
517,561.37,3.0,565.44,3.0,,
518,595.94,3.0,603.36,4.0,,
519,462.83,2.0,369.21,1.0,,
520,494.44,2.0,595.07,3.0,,
521,309.26,1.0,357.05,1.0,,
522,424.54,2.0,377.06,1.0,,
523,,,267.39,1.0,,
524,384.62,1.0,289.39,1.0,,
525,475.51,2.0,444.94,2.0,,
526,505.81,3.0,533.05,3.0,,
527,436.69,2.0,498.22,2.0,,
528,,,,,,
529,472.34,2.0,481.97,2.0,,
530,613.33,4.0,492.48,2.0,,
531,336.83,1.0,450.35,2.0,,
532,404.53,2.0,502.43,3.0,,
533,,,,,,
534,372.92,1.0,489.38,2.0,,
535,374.67,1.0,528.18,3.0,,
536,516.86,3.0,587.99,3.0,,
537,,,,,,
538,407.92,2.0,381.15,1.0,,
539,435.15,2.0,445.16,2.0,,
540,349.08,1.0,351.74,1.0,,
541,388.45,1.0,440.07,2.0,,
542,391.84,1.0,454.78,2.0,,
543,387.79,1.0,413.65,2.0,,
544,595.94,3.0,597.83,3.0,,
545,365.7,1.0,426.81,2.0,,
546,,,,,,
547,388.23,1.0,544.1,3.0,,
548,585.54,3.0,609.66,4.0,,
549,538.08,3.0,565.44,3.0,,
550,368.65,1.0,454.45,2.0,,
551,364.61,1.0,353.51,1.0,,
552,474.31,2.0,533.05,3.0,,
553,579.53,3.0,618.62,4.0,,
554,588.83,3.0,550.3,3.0,,
555,639.58,4.0,598.39,3.0,,
556,553.61,3.0,649.9,4.0,,
557,,,,,,
558,482.08,2.0,645.04,4.0,,
559,709.79,4.0,538.36,3.0,,
560,446.09,2.0,431.56,2.0,,
561,573.08,3.0,437.64,2.0,,
562,634.22,4.0,618.62,4.0,,
563,411.09,2.0,404.59,2.0,,
564,384.19,1.0,443.61,2.0,,
565,484.59,2.0,558.37,3.0,,
566,340.54,1.0,357.82,1.0,,
567,,,,,,
568,537.97,3.0,621.49,4.0,,
569,465.67,2.0,377.94,1.0,,
570,475.08,2.0,459.86,2.0,,
571,461.84,2.0,553.83,3.0,,
572,505.92,3.0,549.74,3.0,,
573,678.29,4.0,548.75,3.0,,
574,308.06,1.0,358.93,1.0,,
575,407.81,2.0,564.11,3.0,,
576,,,,,,
577,559.08,3.0,511.38,3.0,,
578,553.83,3.0,582.36,3.0,,
579,440.29,2.0,488.27,2.0,,
580,558.09,3.0,531.61,3.0,,
581,602.17,4.0,586.78,3.0,,
582,565.86,3.0,668.26,4.0,,
583,339.12,1.0,343.78,1.0,,
584,709.79,4.0,563.01,3.0,,
585,608.62,4.0,610.55,4.0,,
586,553.06,3.0,536.37,3.0,,
587,596.7,3.0,493.14,2.0,,
588,359.79,1.0,448.7,2.0,,
589,629.4,4.0,623.15,4.0,,
590,610.04,4.0,587.88,3.0,,
591,,,,,,
592,636.95,4.0,563.56,3.0,,
593,509.53,3.0,507.95,3.0,,
594,,,,,,
595,568.26,3.0,549.74,3.0,,
596,495.64,2.0,457.65,2.0,,
597,543.0,3.0,548.75,3.0,,
598,458.01,2.0,496.46,2.0,,
599,493.23,2.0,606.79,4.0,,
600,599.54,3.0,645.04,4.0,,
601,445.54,2.0,439.74,2.0,,
602,269.34,1.0,504.86,3.0,,
603,409.01,2.0,558.59,3.0,,
604,505.81,3.0,512.6,3.0,,
605,643.95,4.0,434.55,2.0,,
606,,,,,,
607,471.14,2.0,592.97,3.0,,
608,544.09,3.0,668.26,4.0,,
609,615.84,4.0,551.29,3.0,,
610,467.97,2.0,359.15,1.0,,
611,352.79,1.0,444.94,2.0,,
612,451.12,2.0,422.27,2.0,,
613,,,,,,
614,,,,,,
615,393.48,1.0,416.3,2.0,,
616,709.79,4.0,625.91,4.0,,
617,483.72,2.0,668.26,4.0,,
618,,,,,,
619,619.45,4.0,553.83,3.0,,
620,372.92,1.0,393.2,1.0,,
621,499.58,2.0,537.14,3.0,,
622,492.14,2.0,598.39,3.0,,
623,457.36,2.0,434.44,2.0,,
624,356.08,1.0,364.9,1.0,,
625,566.51,3.0,509.72,3.0,,
626,281.92,1.0,371.31,1.0,,
627,599.65,3.0,467.49,2.0,,
628,610.26,4.0,629.12,4.0,,
629,554.81,3.0,451.9,2.0,,
630,676.98,4.0,606.12,4.0,,
631,637.17,4.0,550.18,3.0,,
632,286.3,1.0,362.24,1.0,,
633,568.59,3.0,458.65,2.0,,
634,565.09,3.0,465.94,2.0,,
635,657.19,4.0,583.46,3.0,,
636,381.01,1.0,358.6,1.0,,
637,461.95,2.0,428.35,2.0,,
638,584.56,3.0,575.17,3.0,,
639,396.76,1.0,536.37,3.0,,
640,595.94,3.0,554.05,3.0,,
641,637.61,4.0,579.37,3.0,,
642,524.84,3.0,645.92,4.0,,
643,521.56,3.0,396.85,1.0,,
644,558.2,3.0,473.68,2.0,,
645,419.95,2.0,420.62,2.0,,
646,438.54,2.0,351.96,1.0,,
647,623.28,4.0,520.56,3.0,,
648,668.34,4.0,624.81,4.0,,
649,550.22,3.0,645.04,4.0,,
650,709.79,4.0,605.13,4.0,,
651,446.97,2.0,315.15,1.0,,
652,441.5,2.0,493.03,2.0,,
653,337.04,1.0,314.37,1.0,,
654,294.5,1.0,352.74,1.0,,
655,440.95,2.0,444.83,2.0,,
656,652.37,4.0,579.59,3.0,,
657,678.29,4.0,588.88,3.0,,
658,476.39,2.0,366.89,1.0,,
659,387.47,1.0,496.35,2.0,,
660,428.15,2.0,518.68,3.0,,
661,586.86,3.0,579.92,3.0,,
662,563.56,3.0,583.13,3.0,,
663,549.89,3.0,622.04,4.0,,
664,439.75,2.0,476.11,2.0,,
665,648.44,4.0,668.26,4.0,,
666,535.67,3.0,358.71,1.0,,
667,,,,,,
668,,,,,,
669,,,,,,
670,416.78,2.0,326.31,1.0,,
671,401.36,2.0,451.9,2.0,,
672,517.4,3.0,612.43,4.0,,
673,579.86,3.0,550.18,3.0,,
674,,,,,,
675,366.69,1.0,357.82,1.0,,
676,487.44,2.0,452.68,2.0,,
677,568.04,3.0,561.79,3.0,,
678,372.04,1.0,530.4,3.0,,
679,574.83,3.0,497.34,2.0,,
680,386.92,1.0,447.92,2.0,,
681,595.5,3.0,462.41,2.0,,
682,422.14,2.0,355.5,1.0,,
683,491.04,2.0,454.67,2.0,,
684,,,,,,
685,624.7,4.0,549.41,3.0,,
686,549.01,3.0,475.12,2.0,,
687,328.51,1.0,328.19,1.0,,
688,510.19,3.0,541.23,3.0,,
689,414.59,2.0,389.77,1.0,,
690,597.69,3.0,549.41,3.0,,
691,435.04,2.0,645.04,4.0,,
692,482.4,2.0,353.84,1.0,,
693,407.04,2.0,342.12,1.0,,
694,540.92,3.0,544.55,3.0,,
695,508.98,3.0,419.95,2.0,,
696,515.0,3.0,536.81,3.0,,
697,449.59,2.0,599.27,3.0,,
698,305.33,1.0,,,,
699,539.17,3.0,540.12,3.0,,
700,483.06,2.0,530.4,3.0,,
701,387.03,1.0,262.19,1.0,,
702,536.0,3.0,514.48,3.0,,
703,488.31,2.0,564.45,3.0,,
704,420.28,2.0,340.69,1.0,,
705,652.81,4.0,446.37,2.0,,
706,584.89,3.0,462.52,2.0,,
707,539.39,3.0,418.85,2.0,,
708,709.79,4.0,624.81,4.0,,
709,524.62,3.0,539.02,3.0,,
710,433.08,2.0,604.91,4.0,,
711,657.73,4.0,645.04,4.0,,
712,500.23,3.0,429.13,2.0,,
713,,,,,,
714,590.14,3.0,403.81,2.0,,
715,628.2,4.0,645.04,4.0,,
716,709.79,4.0,560.8,3.0,,
717,503.84,3.0,563.34,3.0,,
718,472.45,2.0,473.46,2.0,,
719,545.51,3.0,507.29,3.0,,
720,406.39,2.0,556.82,3.0,,
721,467.53,2.0,617.84,4.0,,
722,550.33,3.0,668.26,4.0,,
723,425.09,2.0,440.18,2.0,,
724,450.9,2.0,577.71,3.0,,
725,612.01,4.0,560.47,3.0,,
726,474.31,2.0,500.88,3.0,,
727,579.86,3.0,562.12,3.0,,
728,556.78,3.0,555.27,3.0,,
