a11c;Student questionnaire;Categorical;14%;12%;7%;8%;6%;6%;6%;7%;10%;7%;No;No;No;Materials in class: newspapers or magazines
a11d;Student questionnaire;Categorical;14%;12%;7%;8%;6%;6%;6%;6%;10%;7%;No;No;No;Materials in class: computers or tablets
a11e;Student questionnaire;Categorical;14%;12%;7%;8%;6%;6%;6%;7%;10%;7%;No;No;No;Materials in class: videos
a11f;Student questionnaire;Categorical;14%;12%;7%;8%;100%;100%;6%;100%;10%;100%;No;No;No;Materials in class: school agenda
a11g;Student questionnaire;Categorical;14%;12%;100%;100%;100%;100%;100%;100%;100%;100%;No;No;No;Materials in class: material prepared by the teacher
a11h;Student questionnaire;Categorical;13%;11%;7%;8%;6%;6%;6%;6%;10%;7%;No;No;No;Materials in class: digital whiteboard
a12a;Student questionnaire;Categorical;12%;11%;100%;8%;6%;100%;6%;7%;11%;7%;No;No;No;Evaluation: They ask us about what we know before starting a topic
a12b;Student questionnaire;Categorical;13%;11%;100%;8%;6%;100%;6%;7%;11%;7%;No;No;No;Evaluation: We are examined after each topic
a12c;Student questionnaire;Categorical;14%;12%;100%;8%;6%;100%;6%;7%;11%;7%;No;No;No;Evaluation: We have a single exam in each trimester
a12d;Student questionnaire;Categorical;14%;12%;100%;8%;6%;100%;6%;7%;11%;7%;No;No;No;Evaluation: They correct our homework and notebooks
a12e;Student questionnaire;Categorical;14%;12%;100%;8%;6%;100%;6%;7%;11%;7%;No;No;No;Evaluation: They review the activities that we do in class
a12f;Student questionnaire;Categorical;14%;12%;100%;8%;6%;100%;6%;7%;11%;7%;No;No;No;Evaluation: We have oral exams
a12g;Student questionnaire;Categorical;14%;12%;100%;8%;6%;100%;6%;7%;11%;7%;No;No;No;Evaluation: They take into account our self-evaluation
a12h;Student questionnaire;Categorical;14%;11%;100%;8%;6%;100%;6%;7%;11%;7%;No;No;No;Evaluation: They value interest and participation in class
a12i;Student questionnaire;Categorical;14%;11%;100%;8%;6%;100%;6%;7%;11%;7%;No;No;No;Evaluation: Our behavior influences the scores
a13a;Student questionnaire;Categorical;12%;11%;100%;100%;100%;100%;100%;100%;100%;100%;No;No;No;Degree of agreement: We get along  with teachers
a13b;Student questionnaire;Categorical;13%;11%;100%;100%;100%;100%;100%;100%;100%;100%;No;No;No;Degree of agreement: Teachers care about us
a13c;Student questionnaire;Categorical;13%;11%;100%;100%;100%;100%;100%;100%;100%;100%;No;No;No;Degree of agreement: Teachers listen to us
a13d;Student questionnaire;Categorical;13%;11%;100%;100%;100%;100%;100%;100%;100%;100%;No;No;No;Degree of agreement: I receive help from my teachers
a13e;Student questionnaire;Categorical;13%;11%;7%;8%;6%;100%;6%;6%;11%;6%;No;No;No;Degree of agreement: The teachers are fair
a14a;Student questionnaire;Categorical;12%;11%;7%;8%;6%;6%;6%;6%;10%;6%;No;Yes;No;Degree of agreement: I make friends easily
a14b;Student questionnaire;Categorical;14%;12%;7%;8%;6%;100%;6%;6%;10%;6%;No;Yes;No;Degree of agreement: I feel comfortable with my classmates
a14c;Student questionnaire;Categorical;16%;14%;100%;100%;100%;100%;100%;100%;100%;100%;No;Yes;No;Degree of agreement: I feel alone
a14d;Student questionnaire;Categorical;14%;12%;7%;8%;6%;100%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: My classmates leave me out of their games
a14e;Student questionnaire;Categorical;13%;11%;7%;8%;6%;100%;6%;6%;11%;7%;No;Yes;No;Degree of agreement: I am afraid of my classmates
a14f;Student questionnaire;Categorical;13%;11%;7%;8%;6%;100%;6%;6%;11%;6%;No;Yes;No;Degree of agreement: The attitude of my classmates towards me bothers me
a14g;Student questionnaire;Categorical;13%;11%;7%;8%;100%;100%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: I like to be with my classmates
a14h;Student questionnaire;Categorical;13%;11%;7%;8%;6%;6%;6%;6%;11%;7%;No;Yes;No;Degree of agreement: My classmates help me in class
a15a;Student questionnaire;Categorical;12%;11%;7%;8%;100%;100%;6%;100%;11%;100%;No;No;No;Degree of agreement: I know what my teachers expect me to do
a15b;Student questionnaire;Categorical;13%;11%;7%;8%;100%;5%;6%;100%;11%;100%;No;No;No;Degree of agreement: It is easy to understand my teachers
a15c;Student questionnaire;Categorical;13%;11%;7%;8%;100%;100%;6%;100%;11%;100%;No;No;No;Degree of agreement: I am interested in what my teachers say
a15d;Student questionnaire;Categorical;13%;11%;7%;8%;100%;6%;6%;100%;11%;100%;No;No;No;Degree of agreement: My teachers propose interesting things
a15e;Student questionnaire;Categorical;13%;11%;7%;8%;100%;100%;6%;100%;11%;100%;No;No;No;Degree of agreement: My teachers clearly answer my questions
a15f;Student questionnaire;Categorical;13%;11%;7%;8%;100%;6%;6%;100%;11%;100%;No;No;No;Degree of agreement: My teachers are good at explaining
a15g;Student questionnaire;Categorical;13%;11%;7%;8%;100%;100%;6%;100%;11%;100%;No;No;No;Degree of agreement: My teachers let me demonstrate what I have learned
a15h;Student questionnaire;Categorical;13%;11%;7%;8%;100%;100%;6%;100%;11%;100%;No;No;No;Degree of agreement: My teachers do different things to help us learn
a15i;Student questionnaire;Categorical;13%;11%;7%;8%;100%;5%;6%;100%;11%;100%;No;No;No;Degree of agreement: My teachers tell me how to improve when I am wrong
a15j;Student questionnaire;Categorical;13%;11%;7%;8%;100%;100%;6%;100%;11%;100%;No;No;No;Degree of agreement: My teachers listen to me
a16a;Student questionnaire;Categorical;12%;11%;100%;100%;100%;100%;100%;100%;100%;100%;No;No;No;Degree of agreement: The activities are fun
a16b;Student questionnaire;Categorical;13%;11%;7%;8%;6%;6%;6%;6%;10%;7%;No;No;No;Degree of agreement: The teacher is happy with the group
a16c;Student questionnaire;Categorical;13%;11%;7%;8%;6%;6%;6%;6%;10%;7%;No;No;No;Degree of agreement: Students participate in decision-making
a16d;Student questionnaire;Categorical;13%;11%;100%;100%;6%;100%;100%;100%;100%;100%;No;No;No;Degree of agreement: Students help each other
a16e;Student questionnaire;Categorical;13%;11%;7%;8%;6%;6%;6%;6%;10%;7%;No;No;No;Degree of agreement: In my class they respect me and I feel safe
a16f;Student questionnaire;Categorical;13%;11%;7%;8%;100%;5%;6%;100%;10%;100%;No;No;No;Degree of agreement: I like the organization and decoration of my class
a16g;Student questionnaire;Categorical;13%;11%;7%;8%;100%;6%;6%;100%;10%;100%;No;No;No;Degree of agreement: I really like working in class
a16h;Student questionnaire;Categorical;13%;11%;7%;8%;6%;6%;6%;6%;11%;7%;No;No;No;Degree of agreement: In class there is a good working environment
a16i;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;6%;100%;7%;No;No;No;Degree of agreement: I really like the work in mathematics
a16j;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;6%;100%;7%;No;No;No;Degree of agreement:  I really like the spanish language work
a16k;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;6%;100%;11%;100%;No;No;No;Degree of agreement: I really like the english work
a16l;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;6%;100%;7%;No;No;No;Degree of agreement: I really like the work in geography and history
a17a;Student questionnaire;Categorical;12%;10%;7%;8%;6%;100%;6%;6%;11%;6%;No;No;No;Degree of agreement: In my school there are appropriate rules/norms
a17b;Student questionnaire;Categorical;12%;11%;100%;100%;100%;100%;100%;100%;100%;100%;No;Yes;No;Degree of agreement: My school is very good
a17c;Student questionnaire;Categorical;13%;11%;7%;8%;6%;100%;6%;6%;11%;6%;No;Yes;No;Degree of agreement: I like being in this school
a17d;Student questionnaire;Categorical;13%;11%;7%;8%;6%;100%;6%;6%;11%;6%;No;Yes;No;Degree of agreement: I would like to change to other school
a17e;Student questionnaire;Categorical;13%;11%;7%;8%;6%;100%;6%;6%;11%;6%;No;Yes;No;Degree of agreement: I feel safe in this school
a17f;Student questionnaire;Categorical;13%;11%;7%;8%;6%;100%;6%;6%;11%;6%;No;Yes;No;Degree of agreement: I feel part of this school
a17g;Student questionnaire;Categorical;13%;11%;7%;8%;6%;100%;6%;6%;11%;6%;No;Yes;No;Degree of agreement: I am proud to go to this school
a17h;Student questionnaire;Categorical;13%;11%;7%;8%;100%;100%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: I learn a lot at school
a20a;Student questionnaire;Categorical;100%;100%;7%;8%;100%;6%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: I am a good student in mathematics
a20b;Student questionnaire;Categorical;100%;100%;7%;8%;100%;100%;100%;100%;100%;100%;No;Yes;No;Degree of agreement: I wish I did not have mathematics
a20c;Student questionnaire;Categorical;100%;100%;7%;8%;100%;6%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: Mathematics is more difficult for me than for my classmates
a20d;Student questionnaire;Categorical;100%;100%;7%;8%;100%;6%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: Mathematics is more difficult than other subjects
a20e;Student questionnaire;Categorical;100%;100%;7%;8%;100%;6%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: I like studying in the math class
a21a;Student questionnaire;Categorical;100%;100%;7%;8%;100%;100%;100%;100%;100%;100%;No;Yes;No;Degree of agreement: I read because I have to
a21b;Student questionnaire;Categorical;100%;100%;7%;8%;100%;6%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: I read very well
a21c;Student questionnaire;Categorical;100%;100%;7%;8%;100%;6%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: Language is more difficult for me than for my classmates
a21d;Student questionnaire;Categorical;100%;100%;7%;8%;100%;100%;100%;100%;100%;100%;No;Yes;No;Degree of agreement: It is difficult for me to read
a21e;Student questionnaire;Categorical;100%;100%;7%;8%;100%;6%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: Language is more difficult than other subjects
a22a;Student questionnaire;Categorical;100%;100%;100%;8%;100%;100%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: I am a good student in Natural Sciences
a22b;Student questionnaire;Categorical;100%;100%;100%;8%;100%;100%;100%;100%;100%;100%;No;Yes;No;Degree of agreement: I wish I dit not have Nature Sciences
a22c;Student questionnaire;Categorical;100%;100%;100%;8%;100%;100%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: Natural Sciences is more difficult for me than for my classmates
a22d;Student questionnaire;Categorical;100%;100%;100%;8%;100%;100%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: Natural Sciences is more difficult than other subjects
a23a;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;7%;100%;7%;No;Yes;No;Degree of agreement: I am concerned that the written tests are difficult
a23b;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;7%;100%;7%;No;Yes;No;Degree of agreement: In the written tests I feel very nervous
a23c;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;7%;100%;7%;No;Yes;No;Degree of agreement: I want to have the best scores in my class
a23d;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;7%;100%;7%;No;Yes;No;Degree of agreement: I want to have the best scores possible
a23e;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;7%;100%;7%;No;No;No;Degree of agreement: I prefer to work individually than in a group
a23f;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;100%;100%;100%;No;No;No;Degree of agreement: I listen to others
a23g;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;7%;100%;7%;No;No;No;Degree of agreement: I like to know different points of view
a23h;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;7%;100%;7%;No;No;No;Degree of agreement: I take into account the opinions and interests of my classmates
a23i;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;100%;100%;100%;No;No;No;Degree of agreement: I like cooperative work
a23j;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;7%;100%;7%;No;No;No;Degree of agreement: Better decisions are taken in a group than individually
a23k;Student questionnaire;Categorical;100%;100%;100%;100%;100%;100%;100%;7%;100%;7%;No;Yes;No;Degree of agreement: I am happy with the scores I have
a24;Student questionnaire;Categorical;100%;100%;100%;100%;8%;100%;100%;7%;100%;7%;Yes;Yes;No;Studies that I will do next year
a40a;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;6%;100%;7%;No;Yes;No;Degree of agreement: I use social media networks with my classmates
a40b;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;6%;100%;7%;No;Yes;No;Degree of agreement: I am affected by the use of social media networks in my day-to-day life at the school
a40c;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;6%;100%;7%;No;Yes;No;Degree of agreement: I have ever felt hurt on social media networks
a40d;Student questionnaire;Categorical;100%;100%;100%;100%;100%;100%;100%;6%;100%;7%;No;Yes;No;Degree of agreement: I dedicate a lot of time in my day to day to the use of social media networks
a41;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;7%;100%;8%;Yes;Yes;No;I repeated in primary education
a42;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;6%;100%;7%;Yes;Yes;No;I repeated in secondary education
a51;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;6%;100%;6%;No;Yes;No;Unexcused absences during trimester
a61;Student questionnaire;Categorical;39%;25%;43%;23%;6%;100%;100%;6%;100%;6%;No;Yes;No;Homework hours per week
a71;Student questionnaire;Categorical;100%;100%;100%;100%;100%;100%;6%;100%;10%;100%;No;Yes;No;Homework time per day
a111a;Student questionnaire;Categorical;100%;100%;100%;100%;100%;6%;6%;100%;10%;100%;No;No;No;Degree of agreement: Use of activity booklet
a141g;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;6%;100%;6%;No;No;No;Degree of agreement: I have a good relationship with my classmates
a144d;Student questionnaire;Categorical;100%;100%;100%;100%;100%;100%;100%;6%;100%;6%;No;No;No;Degree of agreement: My classmates leave me out of their conversations
a144h;Student questionnaire;Categorical;100%;100%;100%;100%;100%;100%;100%;6%;100%;7%;No;No;No;Degree of agreement: We help each other in class
a160k;Student questionnaire;Categorical;100%;100%;100%;100%;100%;100%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: I am a good student in English
a162k;Student questionnaire;Categorical;100%;100%;100%;100%;100%;100%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: English is more difficult for me than for my classmates
a163k;Student questionnaire;Categorical;100%;100%;100%;100%;100%;100%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: English is more difficult than other subjects
a166f;Student questionnaire;Categorical;100%;100%;100%;100%;100%;6%;100%;100%;100%;100%;No;Yes;No;Degree of agreement: Some classmate treats me badly
a166k;Student questionnaire;Categorical;100%;100%;100%;100%;100%;100%;100%;6%;100%;7%;No;Yes;No;Degree of agreement: I like the work I do in English classes and I find it interesting
a171h;Student questionnaire;Categorical;100%;100%;100%;100%;6%;100%;100%;6%;100%;6%;No;Yes;No;Degree of agreement: The education I receive is good
a177d;Student questionnaire;Categorical;100%;100%;100%;100%;100%;6%;100%;100%;100%;100%;No;Yes;No;Degree of agreement: I would like to change to other class group
a211a;Student questionnaire;Categorical;100%;100%;100%;100%;100%;6%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: I like to read
a222b;Student questionnaire;Categorical;100%;100%;100%;100%;100%;100%;6%;100%;11%;100%;No;Yes;No;Degree of agreement: I like studying Natural Sciences
country_iso_cnac;Student questionnaire;Categorical;100%;100%;9%;14%;15%;7%;10%;11%;100%;100%;Yes;Yes;No;Birth country ISO
country_iso_nac;Student questionnaire;Categorical;100%;100%;8%;12%;11%;5%;6%;8%;100%;100%;Yes;Yes;No;Nationality country ISO
Weight;Student questionnaire;Continuous;100%;100%;0%;0%;0%;0%;0%;0%;100%;6%;No;No;No;Weight for the sample observations
d1;School principals questionnaire;Categorical;9%;8%;100%;100%;100%;8%;9%;7%;14%;8%;No;No;No;Sex
d2n;School principals questionnaire;Continuous;9%;8%;7%;10%;13%;8%;11%;7%;14%;8%;No;No;No;Age
d3n;School principals questionnaire;Continuous;10%;9%;7%;10%;13%;8%;11%;7%;14%;8%;No;No;No;Year of teaching experience
d4n;School principals questionnaire;Continuous;9%;8%;7%;10%;13%;8%;11%;7%;14%;8%;No;No;No;Years in the school
d5n;School principals questionnaire;Continuous;10%;9%;7%;10%;13%;8%;10%;7%;14%;8%;No;No;No;Years of experience as a principal
d6n;School principals questionnaire;Continuous;10%;8%;7%;10%;13%;8%;11%;7%;14%;8%;No;No;No;Years of experience as a principal in the school
d7n;School principals questionnaire;Continuous;14%;12%;24%;26%;16%;8%;9%;7%;14%;8%;No;No;No;Number of weekly class hours 
d8n;School principals questionnaire;Continuous;10%;8%;7%;10%;13%;8%;11%;7%;14%;8%;No;No;No;Principals that the center has had in the last 10 years
d9a1;School principals questionnaire;Continuous;28%;27%;7%;10%;13%;8%;9%;7%;100%;100%;No;No;No;Total number of students
d9a2;School principals questionnaire;Continuous;26%;25%;8%;10%;13%;8%;13%;7%;100%;100%;No;No;No;Total number of groups
d9b1;School principals questionnaire;Continuous;11%;9%;8%;11%;80%;8%;10%;80%;100%;100%;No;No;No;Total number of preschool students
d9b2;School principals questionnaire;Continuous;12%;10%;22%;30%;80%;22%;26%;80%;100%;100%;No;No;No;Total number of preschool groups
d9c1;School principals questionnaire;Continuous;10%;8%;7%;10%;80%;8%;9%;80%;100%;100%;No;No;No;Total number of primary education students
d9c2;School principals questionnaire;Continuous;11%;10%;17%;26%;80%;20%;20%;79%;100%;100%;No;No;No;Total number of primary education groups
d9d1;School principals questionnaire;Continuous;10%;10%;7%;100%;100%;8%;100%;100%;100%;100%;No;No;No;Total number of 3rd grade students
d9d2;School principals questionnaire;Continuous;14%;13%;7%;100%;100%;8%;100%;100%;100%;100%;No;No;No;Total number of 3rd grade groups
d9e1;School principals questionnaire;Continuous;12%;10%;100%;10%;100%;100%;9%;100%;100%;100%;No;No;No;Total number of 6th grade students
d9e2;School principals questionnaire;Continuous;14%;12%;100%;10%;100%;100%;9%;100%;100%;100%;No;No;No;Total number of 6th grade groups
d9f1;School principals questionnaire;Continuous;77%;77%;80%;80%;13%;72%;76%;7%;100%;100%;No;No;No;Total number of mandadory secondary education students
d9f2;School principals questionnaire;Continuous;78%;77%;80%;80%;14%;72%;76%;7%;100%;100%;No;No;No;Total number of mandadory secondary education groups
d9g1;School principals questionnaire;Continuous;99%;99%;100%;100%;100%;100%;100%;100%;100%;100%;No;No;No;Total number of students in Qualification Programs
d9g2;School principals questionnaire;Continuous;99%;99%;100%;100%;100%;100%;100%;100%;100%;100%;No;No;No;Total number of groups in Qualification Programs
d9h1;School principals questionnaire;Continuous;100%;100%;100%;100%;13%;100%;100%;7%;100%;100%;No;No;No;Total number of 4th grade of mandatory secondary education students
d9h2;School principals questionnaire;Continuous;100%;100%;100%;100%;13%;100%;100%;7%;100%;100%;No;No;No;Total number of 4th grade of mandatory secondary education groups
